sampleId	MSI_score	Group
TCGA-50-6591-01	0.3244	MSI-L
TCGA-50-6592-01	0.2877	MSS
TCGA-50-6593-01	0.2839	MSS
TCGA-50-6594-01	0.3083	MSI-L
TCGA-50-6595-01	0.3005	MSI-L
TCGA-50-6597-01	0.3029	MSI-L
TCGA-50-6673-01	0.2908	MSS
TCGA-50-7109-01	0.3035	MSI-L
TCGA-50-8457-01	0.3402	MSI-L
TCGA-50-8459-01	0.3327	MSI-L
TCGA-50-8460-01	0.3409	MSI-L
TCGA-53-7624-01	0.317	MSI-L
TCGA-53-7626-01	0.3176	MSI-L
TCGA-53-7813-01	0.3387	MSI-L
TCGA-53-A4EZ-01	0.3105	MSI-L
TCGA-55-1592-01	0.2803	MSS
TCGA-55-1594-01	0.2912	MSS
TCGA-55-1595-01	0.2662	MSS
TCGA-55-1596-01	0.2772	MSS
TCGA-55-5899-01	0.3053	MSI-L
TCGA-55-6543-01	0.3	MSI-L
TCGA-55-6642-01	0.3046	MSI-L
TCGA-55-6712-01	0.3013	MSI-L
TCGA-55-6968-01	0.3192	MSI-L
TCGA-55-6969-01	0.2795	MSS
TCGA-55-6970-01	0.3069	MSI-L
TCGA-55-6971-01	0.293	MSS
TCGA-55-6972-01	0.2864	MSS
TCGA-55-6975-01	0.2973	MSS
TCGA-55-6978-01	0.279	MSS
TCGA-55-6979-01	0.2926	MSS
TCGA-55-6980-01	0.2955	MSS
TCGA-55-6981-01	0.275	MSS
TCGA-55-6982-01	0.2939	MSS
TCGA-55-6983-01	0.3045	MSI-L
TCGA-55-6984-01	0.3082	MSI-L
TCGA-55-6985-01	0.3005	MSI-L
TCGA-55-6986-01	0.2868	MSS
TCGA-55-6987-01	0.3051	MSI-L
TCGA-55-7227-01	0.294	MSS
TCGA-55-7281-01	0.2873	MSS
TCGA-55-7283-01	0.3037	MSI-L
TCGA-55-7284-01	0.3198	MSI-L
TCGA-55-7570-01	0.3006	MSI-L
TCGA-55-7573-01	0.3036	MSI-L
TCGA-55-7574-01	0.3064	MSI-L
TCGA-55-7576-01	0.3078	MSI-L
TCGA-55-7724-01	0.3507	MSI-H
TCGA-55-7725-01	0.3117	MSI-L
TCGA-55-7726-01	0.3484	MSI-L
TCGA-55-7727-01	0.3554	MSI-H
TCGA-55-7728-01	0.3474	MSI-L
TCGA-55-7815-01	0.337	MSI-L
TCGA-55-7816-01	0.2941	MSS
TCGA-55-7903-01	0.3455	MSI-L
TCGA-55-7907-01	0.3314	MSI-L
TCGA-55-7910-01	0.3415	MSI-L
TCGA-55-7911-01	0.3558	MSI-H
TCGA-55-7913-01	0.3381	MSI-L
TCGA-55-7914-01	0.3043	MSI-L
TCGA-55-7994-01	0.3527	MSI-H
TCGA-55-7995-01	0.3538	MSI-H
TCGA-55-8085-01	0.3109	MSI-L
TCGA-55-8087-01	0.3177	MSI-L
TCGA-55-8089-01	0.3445	MSI-L
TCGA-55-8090-01	0.3169	MSI-L
TCGA-55-8091-01	0.3272	MSI-L
TCGA-55-8092-01	0.319	MSI-L
TCGA-55-8094-01	0.3206	MSI-L
TCGA-55-8096-01	0.3506	MSI-H
TCGA-55-8097-01	0.3278	MSI-L
TCGA-55-8203-01	0.3099	MSI-L
TCGA-55-8204-01	0.3441	MSI-L
TCGA-55-8205-01	0.3331	MSI-L
TCGA-55-8206-01	0.345	MSI-L
TCGA-55-8207-01	0.3312	MSI-L
TCGA-55-8208-01	0.2956	MSS
TCGA-55-8299-01	0.329	MSI-L
TCGA-55-8301-01	0.3329	MSI-L
TCGA-55-8302-01	0.3126	MSI-L
TCGA-55-8505-01	0.3302	MSI-L
TCGA-55-8506-01	0.5316	MSI-H
TCGA-55-8507-01	0.3629	MSI-H
TCGA-55-8508-01	0.3292	MSI-L
TCGA-55-8510-01	0.3384	MSI-L
TCGA-55-8511-01	0.3413	MSI-L
TCGA-55-8512-01	0.318	MSI-L
TCGA-55-8513-01	0.3194	MSI-L
TCGA-55-8514-01	0.3151	MSI-L
TCGA-55-8614-01	0.3412	MSI-L
TCGA-55-8615-01	0.3269	MSI-L
TCGA-55-8616-01	0.3503	MSI-H
TCGA-55-8619-01	0.323	MSI-L
TCGA-55-8620-01	0.3391	MSI-L
TCGA-55-8621-01	0.3078	MSI-L
TCGA-55-A48X-01	0.3152	MSI-L
TCGA-55-A48Y-01	0.3259	MSI-L
TCGA-55-A48Z-01	0.3062	MSI-L
TCGA-55-A490-01	0.3394	MSI-L
