ID	Cindex	Model
GSE41271	0.637849235635213	RSF + StepCox[forward]
GSE50081	0.661469933184855	RSF + StepCox[forward]
TCGA	0.630202165454238	RSF + SuperPC
GSE3141	0.637788778877888	RSF + SuperPC
GSE30219	0.688849557522124	RSF + SuperPC
GSE31210	0.665274654673948	RSF + SuperPC
GSE41271	0.637585661570901	RSF + SuperPC
GSE50081	0.627839643652561	RSF + SuperPC
TCGA	0.602351547961428	RSF + survival-SVM
GSE3141	0.556105610561056	RSF + survival-SVM
GSE30219	0.664955752212389	RSF + survival-SVM
GSE31210	0.547703180212014	RSF + survival-SVM
GSE41271	0.607670005271481	RSF + survival-SVM
GSE50081	0.557461024498886	RSF + survival-SVM
TCGA	0.68345034681103	Enet[α=0.1]
GSE3141	0.623762376237624	Enet[α=0.1]
GSE30219	0.694159292035398	Enet[α=0.1]
GSE31210	0.657886283327979	Enet[α=0.1]
GSE41271	0.669346336320506	Enet[α=0.1]
GSE50081	0.630289532293987	Enet[α=0.1]
TCGA	0.684719167653527	Enet[α=0.2]
GSE3141	0.622112211221122	Enet[α=0.2]
GSE30219	0.692566371681416	Enet[α=0.2]
GSE31210	0.645679408930292	Enet[α=0.2]
GSE41271	0.66723774380601	Enet[α=0.2]
GSE50081	0.623385300668151	Enet[α=0.2]
TCGA	0.685311284046693	Enet[α=0.3]
GSE3141	0.616336633663366	Enet[α=0.3]
GSE30219	0.691327433628319	Enet[α=0.3]
GSE31210	0.642145840025699	Enet[α=0.3]
GSE41271	0.667764891934634	Enet[α=0.3]
GSE50081	0.623162583518931	Enet[α=0.3]
TCGA	0.685120960920318	Enet[α=0.4]
GSE3141	0.612211221122112	Enet[α=0.4]
GSE30219	0.689557522123894	Enet[α=0.4]
GSE31210	0.640860905878574	Enet[α=0.4]
GSE41271	0.667501317870322	Enet[α=0.4]
GSE50081	0.620267260579065	Enet[α=0.4]
TCGA	0.685374725088817	Enet[α=0.5]
GSE3141	0.60973597359736	Enet[α=0.5]
GSE30219	0.689203539823009	Enet[α=0.5]
GSE31210	0.638933504657886	Enet[α=0.5]
GSE41271	0.66723774380601	Enet[α=0.5]
GSE50081	0.619376391982183	Enet[α=0.5]
TCGA	0.685332431060734	Enet[α=0.6]
GSE3141	0.60973597359736	Enet[α=0.6]
GSE30219	0.689203539823009	Enet[α=0.6]
GSE31210	0.637969804047543	Enet[α=0.6]
GSE41271	0.666842382709541	Enet[α=0.6]
GSE50081	0.618930957683742	Enet[α=0.6]
TCGA	0.685353578074776	Enet[α=0.7]
GSE3141	0.60973597359736	Enet[α=0.7]
GSE30219	0.688318584070796	Enet[α=0.7]
GSE31210	0.63732733697398	Enet[α=0.7]
GSE41271	0.666447021613073	Enet[α=0.7]
GSE50081	0.617817371937639	Enet[α=0.7]
TCGA	0.685353578074776	Enet[α=0.8]
GSE3141	0.608910891089109	Enet[α=0.8]
GSE30219	0.687610619469027	Enet[α=0.8]
GSE31210	0.636684869900418	Enet[α=0.8]
GSE41271	0.666183447548761	Enet[α=0.8]
GSE50081	0.616926503340757	Enet[α=0.8]
TCGA	0.68514210793436	Enet[α=0.9]
GSE3141	0.608910891089109	Enet[α=0.9]
GSE30219	0.687610619469027	Enet[α=0.9]
GSE31210	0.636203019595246	Enet[α=0.9]
GSE41271	0.666710595677385	Enet[α=0.9]
GSE50081	0.617371937639198	Enet[α=0.9]
TCGA	0.680214853662663	StepCox[both]
GSE3141	0.610561056105611	StepCox[both]
GSE30219	0.656637168141593	StepCox[both]
GSE31210	0.634436235142949	StepCox[both]
GSE41271	0.605561412756985	StepCox[both]
GSE50081	0.650779510022272	StepCox[both]
TCGA	0.680214853662663	StepCox[backward]
GSE3141	0.610561056105611	StepCox[backward]
GSE30219	0.656637168141593	StepCox[backward]
GSE31210	0.634436235142949	StepCox[backward]
GSE41271	0.605561412756985	StepCox[backward]
GSE50081	0.650779510022272	StepCox[backward]
TCGA	0.685522754187109	StepCox[forward]
GSE3141	0.628712871287129	StepCox[forward]
GSE30219	0.665486725663717	StepCox[forward]
GSE31210	0.653870864118214	StepCox[forward]
GSE41271	0.633500263574064	StepCox[forward]
GSE50081	0.66815144766147	StepCox[forward]
TCGA	0.680510911859246	StepCox[both] + CoxBoost
GSE3141	0.613036303630363	StepCox[both] + CoxBoost
GSE30219	0.656991150442478	StepCox[both] + CoxBoost
GSE31210	0.633151300995824	StepCox[both] + CoxBoost
GSE41271	0.607801792303637	StepCox[both] + CoxBoost
GSE50081	0.650556792873051	StepCox[both] + CoxBoost
TCGA	0.68070123498562	StepCox[both] + Enet[α=0.1]
GSE3141	0.60973597359736	StepCox[both] + Enet[α=0.1]
GSE30219	0.66	StepCox[both] + Enet[α=0.1]
GSE31210	0.633633151300996	StepCox[both] + Enet[α=0.1]
GSE41271	0.620848708487085	StepCox[both] + Enet[α=0.1]
GSE50081	0.648775055679287	StepCox[both] + Enet[α=0.1]
TCGA	0.68095499915412	StepCox[both] + Enet[α=0.2]
GSE3141	0.613861386138614	StepCox[both] + Enet[α=0.2]
GSE30219	0.65929203539823	StepCox[both] + Enet[α=0.2]
GSE31210	0.633472534532605	StepCox[both] + Enet[α=0.2]
GSE41271	0.615840801265156	StepCox[both] + Enet[α=0.2]
GSE50081	0.651002227171492	StepCox[both] + Enet[α=0.2]
TCGA	0.68070123498562	StepCox[both] + Enet[α=0.3]
GSE3141	0.612211221122112	StepCox[both] + Enet[α=0.3]
GSE30219	0.658761061946903	StepCox[both] + Enet[α=0.3]
GSE31210	0.63218760038548	StepCox[both] + Enet[α=0.3]
GSE41271	0.613732208750659	StepCox[both] + Enet[α=0.3]
GSE50081	0.651002227171492	StepCox[both] + Enet[α=0.3]
TCGA	0.680658940957537	StepCox[both] + Enet[α=0.4]
GSE3141	0.614686468646865	StepCox[both] + Enet[α=0.4]
GSE30219	0.658230088495575	StepCox[both] + Enet[α=0.4]
GSE31210	0.632348217153871	StepCox[both] + Enet[α=0.4]
GSE41271	0.613205060622035	StepCox[both] + Enet[α=0.4]
GSE50081	0.64988864142539	StepCox[both] + Enet[α=0.4]
TCGA	0.68082811706987	StepCox[both] + Enet[α=0.5]
GSE3141	0.613036303630363	StepCox[both] + Enet[α=0.5]
GSE30219	0.656814159292035	StepCox[both] + Enet[α=0.5]
GSE31210	0.632348217153871	StepCox[both] + Enet[α=0.5]
GSE41271	0.611623616236162	StepCox[both] + Enet[α=0.5]
GSE50081	0.65011135857461	StepCox[both] + Enet[α=0.5]
TCGA	0.681018440196244	StepCox[both] + Enet[α=0.6]
GSE3141	0.613036303630363	StepCox[both] + Enet[α=0.6]
GSE30219	0.656637168141593	StepCox[both] + Enet[α=0.6]
GSE31210	0.632508833922262	StepCox[both] + Enet[α=0.6]
GSE41271	0.61136004217185	StepCox[both] + Enet[α=0.6]
GSE50081	0.649665924276169	StepCox[both] + Enet[α=0.6]
TCGA	0.680912705126036	StepCox[both] + Enet[α=0.7]
GSE3141	0.613036303630363	StepCox[both] + Enet[α=0.7]
GSE30219	0.656814159292035	StepCox[both] + Enet[α=0.7]
GSE31210	0.632669450690652	StepCox[both] + Enet[α=0.7]
GSE41271	0.61004217185029	StepCox[both] + Enet[α=0.7]
GSE50081	0.64988864142539	StepCox[both] + Enet[α=0.7]
TCGA	0.680785823041786	StepCox[both] + Enet[α=0.8]
GSE3141	0.613036303630363	StepCox[both] + Enet[α=0.8]
GSE30219	0.656637168141593	StepCox[both] + Enet[α=0.8]
GSE31210	0.632508833922262	StepCox[both] + Enet[α=0.8]
GSE41271	0.609778597785978	StepCox[both] + Enet[α=0.8]
GSE50081	0.64988864142539	StepCox[both] + Enet[α=0.8]
TCGA	0.680912705126036	StepCox[both] + Enet[α=0.9]
GSE3141	0.612211221122112	StepCox[both] + Enet[α=0.9]
GSE30219	0.656814159292035	StepCox[both] + Enet[α=0.9]
GSE31210	0.632348217153871	StepCox[both] + Enet[α=0.9]
GSE41271	0.609646810753822	StepCox[both] + Enet[α=0.9]
GSE50081	0.64988864142539	StepCox[both] + Enet[α=0.9]
TCGA	0.795021992894603	StepCox[both] + GBM
GSE3141	0.490924092409241	StepCox[both] + GBM
GSE30219	0.614513274336283	StepCox[both] + GBM
GSE31210	0.572277545775779	StepCox[both] + GBM
GSE41271	0.600289931470743	StepCox[both] + GBM
GSE50081	0.548775055679287	StepCox[both] + GBM
TCGA	0.680532058873287	StepCox[both] + Lasso
GSE3141	0.612211221122112	StepCox[both] + Lasso
GSE30219	0.656814159292035	StepCox[both] + Lasso
GSE31210	0.633633151300996	StepCox[both] + Lasso
GSE41271	0.607538218239325	StepCox[both] + Lasso
GSE50081	0.65011135857461	StepCox[both] + Lasso
TCGA	0.68017255963458	StepCox[both] + plsRcox
GSE3141	0.613036303630363	StepCox[both] + plsRcox
GSE30219	0.655044247787611	StepCox[both] + plsRcox
GSE31210	0.635239318984902	StepCox[both] + plsRcox
GSE41271	0.605824986821297	StepCox[both] + plsRcox
GSE50081	0.650779510022272	StepCox[both] + plsRcox
TCGA	0.680553205887329	StepCox[both] + Ridge
GSE3141	0.611386138613861	StepCox[both] + Ridge
GSE30219	0.66353982300885	StepCox[both] + Ridge
GSE31210	0.632669450690652	StepCox[both] + Ridge
GSE41271	0.626515550869794	StepCox[both] + Ridge
GSE50081	0.6456570155902	StepCox[both] + Ridge
TCGA	0.933006259516156	StepCox[both] + RSF
GSE3141	0.551155115511551	StepCox[both] + RSF
GSE30219	0.503716814159292	StepCox[both] + RSF
GSE31210	0.526180533247671	StepCox[both] + RSF
GSE41271	0.52029520295203	StepCox[both] + RSF
GSE50081	0.615144766146993	StepCox[both] + RSF
TCGA	0.592370157333785	StepCox[both] + SuperPC
