Tumor_Sample_Barcode	total	total_perMB	total_perMB_log
TCGA-44-6146-01A-21D-A27T-08	36	0.947368421	-0.023481096
TCGA-55-A57B-01A-12D-A397-08	36	0.947368421	-0.023481096
TCGA-86-8075-01A-11D-2238-08	37	0.973684211	-0.011581873
TCGA-17-Z041-01A-01W-0746-08	38	1	0
TCGA-44-2665-01A-01W-0928-08	38	1	0
TCGA-50-6597-01A-11D-1855-08	38	1	0
TCGA-64-1680-01A-02W-0928-08	38	1	0
TCGA-75-6205-01A-11D-1753-08	38	1	0
TCGA-J2-A4AE-01A-21D-A24D-08	38	1	0
TCGA-44-A47B-01A-11D-A24D-08	39	1.026315789	0.01128101
TCGA-55-8621-01A-11D-2393-08	39	1.026315789	0.01128101
TCGA-86-8280-01A-11D-2284-08	39	1.026315789	0.01128101
TCGA-05-4426-01A-01D-1265-08	40	1.052631579	0.022276395
TCGA-49-4510-01A-01D-1265-08	40	1.052631579	0.022276395
TCGA-71-6725-01A-11D-1855-08	40	1.052631579	0.022276395
TCGA-86-6562-01A-11D-1753-08	40	1.052631579	0.022276395
TCGA-97-7553-01A-21D-2036-08	40	1.052631579	0.022276395
TCGA-50-6591-01A-11D-1753-08	42	1.105263158	0.043465694
TCGA-55-7573-01A-11D-2036-08	42	1.105263158	0.043465694
TCGA-55-A48Z-01A-12D-A24P-08	42	1.105263158	0.043465694
TCGA-64-1680-01A-02D-0969-08	42	1.105263158	0.043465694
TCGA-86-7953-01A-11D-2184-08	42	1.105263158	0.043465694
TCGA-93-A4JO-01A-21D-A24P-08	42	1.105263158	0.043465694
TCGA-38-6178-01A-11D-1753-08	43	1.131578947	0.053684859
TCGA-97-8171-01A-11D-2284-08	43	1.131578947	0.053684859
TCGA-38-7271-01A-11D-2036-08	44	1.157894737	0.06366908
TCGA-44-6775-01A-11D-A271-08	45	1.184210526	0.073428917
TCGA-44-6775-01C-02D-A271-08	45	1.184210526	0.073428917
TCGA-50-5942-01A-21D-1753-08	45	1.184210526	0.073428917
TCGA-55-6981-01A-11D-1945-08	45	1.184210526	0.073428917
TCGA-93-A4JP-01A-11D-A24P-08	45	1.184210526	0.073428917
TCGA-97-8547-01A-11D-2393-08	45	1.184210526	0.073428917
TCGA-MP-A4SW-01A-21D-A24P-08	45	1.184210526	0.073428917
TCGA-50-5944-01A-11D-1753-08	46	1.210526316	0.082974235
TCGA-50-6673-01A-11D-1945-08	46	1.210526316	0.082974235
TCGA-50-8457-01A-11D-2323-08	47	1.236842105	0.092314261
TCGA-62-A46V-01A-11D-A24D-08	47	1.236842105	0.092314261
TCGA-62-A472-01A-11D-A24D-08	47	1.236842105	0.092314261
TCGA-44-6775-01A-21D-A27T-08	48	1.263157895	0.101457641
TCGA-75-6207-01A-11D-1753-08	48	1.263157895	0.101457641
