Sample	gene	value	Risk_score	Risk_score_LH
TCGA-05-4382-01	CD48	9.1616	4.03121937124497	High
TCGA-05-4382-01	CD44	13.1444	4.03121937124497	High
TCGA-05-4382-01	ICOSLG	8.1008	4.03121937124497	High
TCGA-05-4382-01	IDO1	7.9692	4.03121937124497	High
TCGA-05-4382-01	CD28	7.2365	4.03121937124497	High
TCGA-05-4382-01	TNFRSF4	7.413	4.03121937124497	High
TCGA-05-4382-01	NRP1	12.0778	4.03121937124497	High
TCGA-05-4382-01	TNFRSF14	10.3478	4.03121937124497	High
TCGA-05-4382-01	TMIGD2	2.2717	4.03121937124497	High
TCGA-05-4382-01	PDCD1LG2	8.5582	4.03121937124497	High
TCGA-05-4382-01	TNFRSF18	7.082	4.03121937124497	High
TCGA-05-4382-01	TNFSF4	7.9244	4.03121937124497	High
TCGA-05-4382-01	CD80	6.6824	4.03121937124497	High
TCGA-05-4382-01	CD86	9.842	4.03121937124497	High
TCGA-05-4382-01	TNFSF9	5.2784	4.03121937124497	High
TCGA-05-4382-01	TNFRSF25	8.3676	4.03121937124497	High
TCGA-05-4382-01	ADORA2A	7.6735	4.03121937124497	High
TCGA-05-4382-01	CD70	3.3692	4.03121937124497	High
TCGA-05-4382-01	CD160	3.5272	4.03121937124497	High
TCGA-05-4382-01	LAIR1	10.7035	4.03121937124497	High
TCGA-05-4382-01	CD200	8.7755	4.03121937124497	High
TCGA-05-4382-01	HAVCR2	10.2273	4.03121937124497	High
TCGA-05-4382-01	TNFRSF9	5.8328	4.03121937124497	High
TCGA-05-4382-01	BTNL2	1.2844	4.03121937124497	High
TCGA-05-4382-01	TNFRSF8	5.5232	4.03121937124497	High
TCGA-05-4384-01	LGALS9	10.1294	2.70978028340333	Low
TCGA-05-4384-01	CD200R1	4.9793	2.70978028340333	Low
TCGA-05-4384-01	LAG3	4.7364	2.70978028340333	Low
TCGA-05-4384-01	ICOS	4.0775	2.70978028340333	Low
TCGA-05-4384-01	TNFSF15	9.1649	2.70978028340333	Low
TCGA-05-4384-01	TIGIT	4.863	2.70978028340333	Low
TCGA-05-4384-01	TNFSF14	4.6687	2.70978028340333	Low
TCGA-05-4384-01	CTLA4	5.0869	2.70978028340333	Low
